codigo_material,nombre_material,motivo_aparece,demanda_bodega_fq,casos_bodega_fq,cantidad_oc_pendiente,stock_transito,stock_en_curso_pedido,estado_cobertura,estado_planificable,codigo_suministrador,nombre_suministrador,catman_nombre,catman_categoria,marca_material,unidad_medida
91034290,Bomba Pearl 1 HP 110/220V Periferica,OC pendiente + transito,0.0,0,20.0,20.0,0.0,cubierto,no planificable,1610147,AQUATRECE ECUADOR S.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91036826,Herraje Con Válvula Eco Palanca CR 6Lts.,OC pendiente,0.0,0,40.0,0.0,0.0,cubierto,no planificable,1608724,F.V - AREA ANDINA S.A,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91030322,Sikadur-32 Primer (AB) CO 3Kg,OC pendiente + transito,0.0,0,20.0,20.0,0.0,cubierto,no planificable,1600118,SIKA ECUATORIANA S.A,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91031158,Sikaflex-256 Negro C9003 Salchicha 600ml,OC pendiente + transito,0.0,0,20.0,20.0,0.0,cubierto,no planificable,1600118,SIKA ECUATORIANA S.A,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91029798,Lapiz de carpintero Best Value,OC pendiente + transito,0.0,0,16.0,16.0,0.0,cubierto,no planificable,1601701,L. HENRIQUES Y CIA. S.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91035122,Carretilla Llanta Neum 16¨amarilla 160kg,OC pendiente,0.0,0,30.0,0.0,0.0,cubierto,no planificable,1603453,FERREMUNDO S.A.S.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91000952,Tee PP R/R 1 ¼ PGM,OC pendiente + transito,0.0,0,15.0,15.0,0.0,cubierto,no planificable,1603646,MEXICHEM ECUADOR S.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91025471,Alambre Solido THHN #12 AWG Amarillo 100,OC pendiente + transito,0.0,0,12.0,12.0,0.0,cubierto,no planificable,1603643,ELECTROCABLES C.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91020948,Cepillo Copa Best Value 5Pcs 11/4 a 21/2,OC pendiente + transito,0.0,0,12.0,12.0,0.0,cubierto,no planificable,1601701,L. HENRIQUES Y CIA. S.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91025473,Alambre Solido THHN #10 AWG Blanco 100m,OC pendiente + transito,0.0,0,11.0,11.0,0.0,cubierto,no planificable,1603643,ELECTROCABLES C.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91025508,Cable THHN # 8 7Hilos AWG Azul 100m,OC pendiente + transito,0.0,0,10.0,10.0,0.0,cubierto,no planificable,1603643,ELECTROCABLES C.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91030631,Clavo para concreto Japonés 1 1/2,OC pendiente + transito,0.0,0,10.0,10.0,0.0,cubierto,no planificable,1609746,IMPORTADORA DE FERRETERI,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91030589,Carretilla con llanta Sólida,OC pendiente + transito,0.0,0,8.0,8.0,0.0,cubierto,no planificable,1609746,IMPORTADORA DE FERRETERI,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91024531,Carrete THHN #12 Unilay AWG Rojo 500m,OC pendiente + transito,0.0,0,6.0,6.0,0.0,cubierto,no planificable,1603643,ELECTROCABLES C.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91025507,Cable THHN # 8 7Hilos AWG Amarillo 100m,OC pendiente + transito,0.0,0,5.0,5.0,0.0,cubierto,no planificable,1603643,ELECTROCABLES C.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91024526,Carrete THHN #14 Unilay AWG Blanco 500m,OC pendiente + transito,0.0,0,5.0,5.0,0.0,cubierto,no planificable,1603643,ELECTROCABLES C.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91033644,"Lija De Agua #80 Pliego 9 X 11"" CJx50",OC pendiente,0.0,0,10.0,0.0,0.0,cubierto,no planificable,1603453,FERREMUNDO S.A.S.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91013330,Caja Electri 15x15cm C/tapa Voz/Dato PGM,OC pendiente + transito,0.0,0,4.0,4.0,0.0,cubierto,no planificable,1603646,MEXICHEM ECUADOR S.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91001614,Cable ST THHN Conc Flex # 3x10 AWG 100m,OC pendiente + transito,0.0,0,3.0,3.0,0.0,cubierto,no planificable,1603643,ELECTROCABLES C.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91011561,Sika 1 10Kg,OC pendiente + transito,0.0,0,3.0,3.0,0.0,cubierto,no planificable,1600118,SIKA ECUATORIANA S.A,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91037695,Cable Andes 6 Awg Thhw 90°Plus Negro-7H,OC pendiente + transito,0.0,0,2.0,2.0,0.0,cubierto,no planificable,1610260,ANDES CABLES TRADING S.A,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91001557,Tanque Conico Standar 1000Lt C/Kit ½ PGM,OC pendiente + transito,0.0,0,2.0,2.0,0.0,cubierto,no planificable,1603646,MEXICHEM ECUADOR S.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91037680,Cable Andes 8 Awg Thhw 90°Plus Rojo-7H,OC pendiente + transito,0.0,0,1.0,1.0,0.0,cubierto,no planificable,1610260,ANDES CABLES TRADING S.A,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91019938,Alto Solido Color Caramelo litro,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1601791,PINTURAS UNIDAS S. A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91019712,Anticorrosivo Brillante Naranja Plus Gl,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1601791,PINTURAS UNIDAS S. A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91031843,Antisol-100 Sika Listo 20Kg,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1600118,SIKA ECUATORIANA S.A,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91035363,Aspiradora 500w 6L 12kpa 110v/60hz,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1603453,FERREMUNDO S.A.S.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91026983,Brochas Unidas Multiusos 2.5,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1601791,PINTURAS UNIDAS S. A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91033635,Candado Barril Eco Pintado 30mm,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1603453,FERREMUNDO S.A.S.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91033633,Candado Barril Eco Pintado 40mm,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1603453,FERREMUNDO S.A.S.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91033631,Candado Barril Eco Pintado 50mm,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1603453,FERREMUNDO S.A.S.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91033634,Candado Rectangular Bronce 50mm,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1603453,FERREMUNDO S.A.S.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91033642,Cerradura Sobreponer Beige T/G 50mm,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1603453,FERREMUNDO S.A.S.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91026523,Combo Milan - Roma C/P - Capri Ra Blanco,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1608724,F.V - AREA ANDINA S.A,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91009864,Conector ¾ Electrocables,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1603643,ELECTROCABLES C.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91034950,Disco C/Cemento Diam Segmentado 7,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1603453,FERREMUNDO S.A.S.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91034953,"Escuadra Magnetica Para Soldar 4"" 50Lb",catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1603453,FERREMUNDO S.A.S.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91018912,Esmalte Unico 3 en 1 Azul Gales - Galon,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1601791,PINTURAS UNIDAS S. A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91018923,Esmalte Unico 3 en 1 Caoba - Litro,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1601791,PINTURAS UNIDAS S. A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91035128,Espátula Mango Plástico Bicolor 4,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1603453,FERREMUNDO S.A.S.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91035092,Extensión 3 Servicios 2x16AWG 5m Blanco,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1603453,FERREMUNDO S.A.S.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91035051,Flexómetro 3mx16mm con Botón,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1603453,FERREMUNDO S.A.S.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91012172,Herraje Universal 6 Lts. C/Manija Blanca,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1608724,F.V - AREA ANDINA S.A,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91012173,Herraje Universal 6 Lts. C/Manija Cromo,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1608724,F.V - AREA ANDINA S.A,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91033394,Juego Brocas Concreto 5 Pzs,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1603453,FERREMUNDO S.A.S.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91035055,Juego Llaves 2Pzs(9-14/15-22mm)(23-32mm),catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1603453,FERREMUNDO S.A.S.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91021355,Latex Supremo Base Satin Tint Galon,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1601791,PINTURAS UNIDAS S. A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91033646,"Lija De Agua #100 Pliego 9 X 11"" CJx50",catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1603453,FERREMUNDO S.A.S.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91033645,"Lija De Agua #120 Pliego 9 X 11"" CJx50",catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1603453,FERREMUNDO S.A.S.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91033647,"Lija De Agua #180 Pliego 9 X 11"" CJx50",catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1603453,FERREMUNDO S.A.S.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91033649,"Lija De Agua #220 Pliego 9 X 11""CJx50",catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1603453,FERREMUNDO S.A.S.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91033648,"Lija De Agua #240 Pliego 9 X 11"" CJx50",catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1603453,FERREMUNDO S.A.S.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91033650,"Lija De Agua #360 Pliego 9 X 11"" CJx50",catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1603453,FERREMUNDO S.A.S.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91033651,Lija P/Seco#150 Amarillo Estearato CJx50,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1603453,FERREMUNDO S.A.S.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91015787,Llave Campanola Ducha Crux Cromo,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1608724,F.V - AREA ANDINA S.A,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91034984,Nivel De Aluminio 60cm 2 Burbujas,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1603453,FERREMUNDO S.A.S.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91033789,Pegatanke Toke 2G,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1609668,PTKDELECUADOR S.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91029896,Pegatanke pvc-cpvc 80ml,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1609668,PTKDELECUADOR S.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91024377,Pintalatex Amarillo - Galon,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1601791,PINTURAS UNIDAS S. A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91030708,Pintalatex Mandarina Intenso - Galon,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1601791,PINTURAS UNIDAS S. A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91030709,Pintalatex Turquesa Intenso - Galon,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1601791,PINTURAS UNIDAS S. A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91035069,Pistola Engrasadora Tipo Palanca 120cc,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1603453,FERREMUNDO S.A.S.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91035071,Pistola Para Silicon Industrial 9,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1603453,FERREMUNDO S.A.S.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91035018,Pistola Rociadora Inalámbrica 20V,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1603453,FERREMUNDO S.A.S.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91017846,Power Switch 50 amps (1P+N 110V) Blanco,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1609249,KIEME C.L,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91035073,Prensa en C De Apriete Manual En G,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1603453,FERREMUNDO S.A.S.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91034986,"Rodillo Para Pintar 4"" Fibra Polies 12",catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1603453,FERREMUNDO S.A.S.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91033387,Sierra Circular 7-1/4-1500w 5500rpm,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1603453,FERREMUNDO S.A.S.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91014761,"Sika Cemento Asfaltico 3,5Kg",catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1600118,SIKA ECUATORIANA S.A,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91023401,Sikaflex Uni Gris Concreto C5002 300ml,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1600118,SIKA ECUATORIANA S.A,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91023873,Sikasil C Transparente Cartucho 280ml,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1600118,SIKA ECUATORIANA S.A,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91023874,Sikasil E Gris Cartucho 280ml,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1600118,SIKA ECUATORIANA S.A,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91018253,Super Bonder Original 3gr,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1601701,L. HENRIQUES Y CIA. S.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91017816,Tomac Nema 6-15R Vive Blanco 250v 15amp,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1609249,KIEME C.L,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91011669,Tubo Duc Elec Corru 110x6m Naranj TUPASA,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1608689,TUBERIAS PACIFICO S.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91031519,Tubo PVC alc Durafort 110mmx6m s5 es PDR,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1603646,MEXICHEM ECUADOR S.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91027140,Ultrabond Pegamento instantaneo 3gr Univ,catalogo operativo,0.0,0,0.0,0.0,0.0,cubierto,no planificable,1601701,L. HENRIQUES Y CIA. S.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
